85	-107.5	215	170	326	310	0
190	-47.5	95	38	311	305	0
285.91	-47.48	50.8	31.1	317	298	49
307	-180	97	114	320	298	0
23	-275	68	64	345	307	45
90.26	-337.4	88.9	32	348	309	140
133.2	-420	88	48	342	315	50.22
45	-480	172	44	330	315	147
108	-608	72	24	410	318	45
127	-290	25	35	315	308	45
156	-546	40	39	330	317	63
271	-315	9	24	313	307	0
292	-338	24	9	313	307	0
233.9	-573.9	21	21	323	317	45
477.8	-17.8	48	60	326	298	0
715.5	-18.7	40	107.5	360	307	0
748.9	-95.9	60	55	328	314	0
406.5	-209.5	40	33	394	300	0
601.7	-205.8	20	74	345	311	0
690.3	-212.5	50	45	326	315	0
763.2	-214.9	47	40	403	321	0
865.6	8	41	21	328	310	19.4
899.6	-13	27	44	336	315	19.4
863.2	-69.5	24.5	61	327	316	32
839.1	-104.5	18.4	35.6	344	318	33.3
978.7	-49.6	17.1	42	347	315	11.7
971.2	-79.3	18.2	47	328	314	0
883.9	-197.6	75	75	576	320	0
1023.1	-199.8	86	144	359	314	0
438.6	-314.3	133	127	355	304	0
579.3	-313.1	132	134.7	375	315	0
681.9	-285.4	63	49	339	318	0
748.6	-287.2	48	42	415	321	0
754.1	-333.1	35	43	438	324	0
870.3	-277.7	32	96	334	318	0
858.2	-323.3	53	63	405	318	0
814.2	-366.1	32	32	400	323	0
867.9	-370.4	23	23	396	320	0
968.1	-276.5	35	60	428	314	0
967.2	-367.2	35	60	428	314	0
1050.1	-322.5	45	100	471	308	0
1147.9	-328.5	105	40	400	308	0
1192.3	-327.4	23	50	400	308	0
1253.7	-327.3	73	35	392	302	0
476.5	-429.0	61	46	315	312	0
392.3	-496.7	42	26	325	312	0
465.9	-489.2	39	30	347	314	0
545.7	-460.8	123	57	361	314	0
604.9	-460.0	124	59	391	320	0
715.0	-461.0	122	114	420	328	0
832.6	-442.7	19	62	410	326	0
833.2	-482.6	19	62	410	326	0
889.1	-417.2	30	50	425	316	0
898.7	-464.3	40	26	347	317	0
887.3	-509.9	30	50	425	320	0
970.0	-448.6	30	70	348	317	0
946.8	-507.7	23	34	327	319	0
1156.9	-425.4	36	94	342	303	0
1152.1	-458.7	18	76	320	307	0
1118.8	-506.6	40	25	316	308	0
1162.3	-512.4	32	52	324	305	0
1255.5	-435.7	39	27	328	302	0
1237.0	-509.6	30	65	337	304	0
1336.0	-487.1	48	21	360	299	61
392.5	-554.7	27	10	321	316	18.9
405.5	-566.7	40	10	321	316	20.7
458.1	-551.5	10	42	321	316	0
425.5	-583.7	30	11	325	316	20.3
447.1	-578.5	18	10	321	316	22.5
465.5	-566.7	7	10	321	316	0
475.0	-592.9	35	37	321	316	52
497.5	-641.8	35	27	354	320	50
542.9	-543.8	21	40	346	317	0
555.6	-585.9	54	18	346	317	50
384.5	-626.2	3	56	372	318	-50
418.8	-642.2	38	29	345	321	36.5
393.7	-673.2	35	20	330	321	21.3
357.5	-679.0	23	29	328	319	50
335.4	-693.6	19	7	329	319	47.5
345.9	-706.1	19	10	332	320	47.5
285.9	-705.1	34	13	328	319	47.5
306.5	-779.3	32	55	326	321	51.3
231.9	-821.8	37	95	334	315	51.5
277.6	-826.4	18	29	362	322	55
578.4	-632.1	29	29	349	318	51.1
527.6	-668.6	43	14	341	320	51
539.4	-695.5	29	40	330	320	51
565.7	-679.9	29	27	341	320	51
475.8	-740.7	29	58	326	321	51
440.9	-768.7	27	59	341	322	51
382.6	-818.4	30	60	349	322	51
355.0	-842.2	41	72	459	322	51
312.2	-913.4	54	111	352	325	51
356.8	-968.2	71	25	361	321	51
286.1	-973.5	45	135	337	320	51
652.2	-690.5	60	61	345	320	51
584.0	-718.8	61	15	357	319	51
610.2	-727.7	30	32	335	320	51
580.4	-742.9	28	14	332	321	51
551.4	-778.5	30	60	339	321	51
519.7	-790.9	30	34	333	322	51
538.0	-818.8	27	18	356	322	51
466.3	-825.2	43	24	359	323	51
495.1	-848.2	60	33	344	323	51
442.4	-881.2	30	45	347	323	51
408.6	-899.9	33	62	347	324	51
697.6	-743.6	60	50	362	326	51
655.4	-780.8	29	58	341	322	51
621.1	-785.4	29	20	358	321	51
581.1	-813.2	32	13	362	322	51
562.5	-839.7	30	30	334	322	51
596.5	-855.4	60	30	344	324	51
529.6	-887.8	60	60	350	324	51
483.6	-929.0	30	50	333	323	51
456.1	-951.2	32	57	410	323	51
411.9	-999.5	30	49	369	324	51
687.6	-557.4	42	42	541	321	0
735.7	-557.6	40	60	354	329	0
729.5	-617.2	78	73	371	330	0
725.9	-692.5	19	45	370	325	51
753.4	-685.0	19	21	383	329	0
721.5	-800.8	25	27	398	324	51
682.7	-842.5	50	35	461	323	51
633.8	-898.2	54	45	346	323	51
567.2	-929.3	61	17	386	324	51
584.3	-951.3	61	34	333	323	51
531.9	-983.4	25	54	362	323	51
498.1	-991.8	35	23	377	323	51
515.0	-1016.1	31	23	390	321	51
445.9	-1036.9	32	26	393	323	51
