500	2384	4
501	2384	14
502	2384	15
503	2384	16
504	2384	17
505	2384	5
506	2384	5
507	2384	4
508	2384	13
509	2384	13
510 2384    10
511 2384    12
512 2384    8
540	2384	5
541	2384	5
542	2384	4
543	2384	15
544	2384	12
545	2384	13
546	2384	15
547	2384	4
548	2384	6
549	2384	5
633	1152	7
634	1152	12
635	1152	11
636	1152	11
637	1152	7
638	1152	11
639	1152	4
640	1152	10
641	1152	5
642	1152	6
643	1152	9
644	1152	4
645	1152	5
646	1152	3
647	1152	15
648	1152	14
649	1152	15
650	1152	17
651	1152	4
652	1152	3
653	1152	11
654	1152	7
655	1152	13
656	1152	10
657	1152	11
658	1152	9
659	1152	11
660	1152	4
661	1152	4
662	1152	2
663	1152	12
664	1152	12
665	1152	12
666	1152	11
667	1152	13
668	1152	12
669	1152	11
670	1152	14
671	1152	12
672	1152	13
673	1152	11
674	1152	9
675	1152	6
676	1152	10
677	1152	10
678	1152	9
679	1152	12
680	1152	12
681	1152	5
682	1152	3
683	1152	4
684	1152	11
685	1152	13
686	1152	12
687	1152	13
688	1152	15
689	1152	14
690	1152	3
691	1152	8
692	1152	10
693	1152	4
694	1152	10
695	1152	10
696	1152	6
697	1152	10
698	1152	12
699	1152	8
