915.866723,-33.041051,320.000000	924.835074,-7.574039,320.000000	883.333277,7.041051,320.000000	874.364926,-18.425961,320.000000	915.866723,-33.041051,336.000000	924.835074,-7.574039,336.000000	883.333277,7.041051,336.000000	874.364926,-18.425961,336.000000
882.573956,-96.051127,321.000000	895.556978,-75.273948,321.000000	843.826044,-42.948873,321.000000	830.843022,-63.726052,321.000000	882.573956,-96.051127,327.000000	895.556978,-75.273948,327.000000	843.826044,-42.948873,327.000000	830.843022,-63.726052,327.000000
848.926361,-121.962034,323.000000	859.028381,-106.583178,323.000000	829.273639,-87.037966,323.000000	819.171619,-102.416822,323.000000	848.926361,-121.962034,344.000000	859.028381,-106.583178,344.000000	829.273639,-87.037966,344.000000	819.171619,-102.416822,344.000000
997.529848,-62.230888,320.000000	1000.997510,-45.486178,320.000000	959.870152,-36.969112,320.000000	956.402490,-53.713822,320.000000	997.529848,-62.230888,347.000000	1000.997510,-45.486178,347.000000	959.870152,-36.969112,347.000000	956.402490,-53.713822,347.000000
994.700000,-88.400000,319.000000	994.700000,-70.200000,319.000000	947.700000,-70.200000,319.000000	947.700000,-88.400000,319.000000	994.700000,-88.400000,328.000000	994.700000,-70.200000,328.000000	947.700000,-70.200000,328.000000	947.700000,-88.400000,328.000000
921.400000,-235.100000,325.000000	921.400000,-160.100000,325.000000	846.400000,-160.100000,325.000000	846.400000,-235.100000,325.000000	921.400000,-235.100000,576.000000	921.400000,-160.100000,576.000000	846.400000,-160.100000,576.000000	846.400000,-235.100000,576.000000
1095.100000,-242.800000,319.000000	1095.100000,-156.800000,319.000000	951.100000,-156.800000,319.000000	951.100000,-242.800000,319.000000	1095.100000,-242.800000,359.000000	1095.100000,-156.800000,359.000000	951.100000,-156.800000,359.000000	951.100000,-242.800000,359.000000
502.100000,-380.800000,309.000000	502.100000,-247.800000,309.000000	375.100000,-247.800000,309.000000	375.100000,-380.800000,309.000000	502.100000,-380.800000,355.000000	502.100000,-247.800000,355.000000	375.100000,-247.800000,355.000000	375.100000,-380.800000,355.000000
646.650000,-379.100000,320.000000	646.650000,-247.100000,320.000000	511.950000,-247.100000,320.000000	511.950000,-379.100000,320.000000	646.650000,-379.100000,375.000000	646.650000,-247.100000,375.000000	511.950000,-247.100000,375.000000	511.950000,-379.100000,375.000000
706.400000,-316.900000,323.000000	706.400000,-253.900000,323.000000	657.400000,-253.900000,323.000000	657.400000,-316.900000,323.000000	706.400000,-316.900000,339.000000	706.400000,-253.900000,339.000000	657.400000,-253.900000,339.000000	657.400000,-316.900000,339.000000
769.600000,-311.200000,326.000000	769.600000,-263.200000,326.000000	727.600000,-263.200000,326.000000	727.600000,-311.200000,326.000000	769.600000,-311.200000,415.000000	769.600000,-263.200000,415.000000	727.600000,-263.200000,415.000000	727.600000,-311.200000,415.000000
775.600000,-350.600000,329.000000	775.600000,-315.600000,329.000000	732.600000,-315.600000,329.000000	732.600000,-350.600000,329.000000	775.600000,-350.600000,438.000000	775.600000,-315.600000,438.000000	732.600000,-315.600000,438.000000	732.600000,-350.600000,438.000000
918.300000,-293.700000,323.000000	918.300000,-261.700000,323.000000	822.300000,-261.700000,323.000000	822.300000,-293.700000,323.000000	918.300000,-293.700000,334.000000	918.300000,-261.700000,334.000000	822.300000,-261.700000,334.000000	822.300000,-293.700000,334.000000
889.700000,-349.800000,323.000000	889.700000,-296.800000,323.000000	826.700000,-296.800000,323.000000	826.700000,-349.800000,323.000000	889.700000,-349.800000,405.000000	889.700000,-296.800000,405.000000	826.700000,-296.800000,405.000000	826.700000,-349.800000,405.000000
830.200000,-382.100000,328.000000	830.200000,-350.100000,328.000000	798.200000,-350.100000,328.000000	798.200000,-382.100000,328.000000	830.200000,-382.100000,400.000000	830.200000,-350.100000,400.000000	798.200000,-350.100000,400.000000	798.200000,-382.100000,400.000000
879.400000,-381.900000,325.000000	879.400000,-358.900000,325.000000	856.400000,-358.900000,325.000000	856.400000,-381.900000,325.000000	879.400000,-381.900000,396.000000	879.400000,-358.900000,396.000000	856.400000,-358.900000,396.000000	856.400000,-381.900000,396.000000
998.100000,-294.000000,319.000000	998.100000,-259.000000,319.000000	938.100000,-259.000000,319.000000	938.100000,-294.000000,319.000000	998.100000,-294.000000,428.000000	998.100000,-259.000000,428.000000	938.100000,-259.000000,428.000000	938.100000,-294.000000,428.000000
